coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Biconomy,BICO,1.29,-0.006,-0.018,0,30433864,147807938,17-03-2022
OriginTrail,TRAC,0.403433,-0.01,0.006,-0.093,1641938,147741339,17-03-2022
Beldex,BDX,0.098103513,0.005,-0.029,0.378,270960,147183281,17-03-2022
Orchid Protocol,OXT,0.245431,0,0.035,0.06,16831078,145268599,17-03-2022
StarLink,STARL,1.45E-05,0.002,0.003,-0.023,6019692,144516643,17-03-2022
GPEX,GPX,3.77,-0.002,-0.017,-0.061,166864,144310185,17-03-2022
Kishu Inu,KISHU,1.48E-09,0,-0.039,0.073,5930373,143713655,17-03-2022
Beta Finance,BETA,0.390171,0.001,0.007,-0.087,16200954,140529092,17-03-2022
Ark,ARK,0.855048,0.008,0.024,-0.053,2191914,139681382,17-03-2022
TrueFi,TRU,0.214734,0.095,0.194,0.242,14102206,137832596,17-03-2022
STASIS EURO,EURS,1.11,-0.001,0.005,0.001,5583658,137830475,17-03-2022
Acala,ACA,1.08,0.002,-0.014,-0.054,8839438,137419617,17-03-2022
Keep3rV1,KP3R,361.53,0.003,0.003,-0.032,19120535,135737507,17-03-2022
Magic,MAGIC,2.66,-0.002,-0.045,-0.054,4586490,135701244,17-03-2022
Hxro,HXRO,0.304276,0,-0.003,-0.066,71104.14,133744124,17-03-2022
Sperax,SPA,0.170244,-0.004,0.026,-0.026,911737,133654459,17-03-2022
MaidSafeCoin,MAID,0.295224,0.001,0.001,-0.067,7810.13,133599281,17-03-2022
flexUSD,FLEXUSD,1,0,-0.005,0.002,312664,132659636,17-03-2022
Prometeus,PROM,8.05,-0.001,0.011,-0.031,889637,132399958,17-03-2022
Iron Bank EURO,IBEUR,1.1,0,0.016,0.005,57945.42,132176489,17-03-2022
Qredo,QRDO,2.61,0,0.028,0.024,16725771,131117652,17-03-2022
Bezoge Earth,BEZOGE,2.98E-09,-0.004,-0.022,-0.177,176270,130736810,17-03-2022
Victoria VR,VR,0.154224,0.01,0.067,0.131,10041552,130077410,17-03-2022
Polkastarter,POLS,1.47,0.018,-0.042,0.198,34461134,129790575,17-03-2022
DUSK Network,DUSK,0.32285,-0.024,-0.007,-0.108,10733697,129772453,17-03-2022
iExec RLC,RLC,1.81,0.004,-0.001,0.01,4304190,129744853,17-03-2022
RMRK,RMRK,13.61,-0.006,-0.003,-0.07,3122953,129381545,17-03-2022
THORChain (ERC20),RUNE,7.98,0.003,0.122,0.584,2414143,129360305,17-03-2022
Metadium,META,0.076139641,-0.002,-0.012,0.004,9899795,128563501,17-03-2022
StormX,STMX,0.013797399,0.002,-0.014,-0.1,1844462,128358108,17-03-2022
Stratis,STRAX,0.94622,-0.003,0.013,-0.04,14410182,128080393,17-03-2022
STP Network,STPT,0.087992796,0,0.016,-0.046,7298290,127931734,17-03-2022
Steem,STEEM,0.322052,0.004,0.02,-0.011,4267199,127246640,17-03-2022
DEAPCOIN,DEP,0.027101683,-0.008,-0.018,-0.159,5123322,126235341,17-03-2022
Meerkat Shares,MSHARE,14141.32,0.001,0.091,1.065,8589756,126105039,17-03-2022
RSK Infrastructure Framework,RIF,0.151385,-0.002,0.01,-0.07,206651,125639850,17-03-2022
Dawn Protocol,DAWN,1.72,0.001,0.014,0.006,4063485,125035795,17-03-2022
Alpha Finance,ALPHA,0.280024,0.003,0.004,-0.003,5728562,125007857,17-03-2022
NKN,NKN,0.191882,0.005,-0.003,-0.014,5872145,124824929,17-03-2022
Decentral Games,DG,0.322954,-0.01,0.059,0.008,1307545,124818085,17-03-2022
Balancer,BAL,11.52,0,0.006,-0.038,8895097,124477702,17-03-2022
Strike,STRK,39.63,0.002,0.044,-0.01,70589902,124043364,17-03-2022
Alien Worlds,TLM,0.099181828,0.008,0.028,-0.019,53533075,123122031,17-03-2022
Dero,DERO,10.93,0.001,0.007,-0.158,568520,122930832,17-03-2022
Sun Token,SUN,0.011601809,0,0,-0.026,20031921,122048839,17-03-2022
Tomb Shares,TSHARE,3117.12,-0.015,0.07,-0.346,15057752,122042187,17-03-2022
GXChain,GXC,1.62,-0.006,-0.01,-0.046,11044304,122034911,17-03-2022
Ankr Reward-Bearing Staked ETH,AETHC,2254.71,0.005,0.027,-0.035,103476,120703323,17-03-2022
Spookyswap,BOO,13.41,-0.005,0.027,-0.073,3033122,120688730,17-03-2022
Maple,MPL,26.62,-0.016,0.048,0.216,6013862,120557876,17-03-2022
Kirobo,KIRO,0.125334,0.009,-0.008,-0.102,60450.88,119964465,17-03-2022
BENQI Liquid Staked AVAX,SAVAX,79.79,0,0.095,0.029,1138158,119637582,17-03-2022
sETH2,SETH2,2818.01,0.005,0.028,0.035,958190,119015862,17-03-2022
Aavegotchi,GHST,1.94,-0.001,0,-0.008,28955029,117650490,17-03-2022
FUNToken,FUN,0.011072745,-0.007,0.012,-0.012,840985,117522843,17-03-2022
agEUR,AGEUR,1.11,0.003,0.011,0.005,2130541,115865259,17-03-2022
Alchemix,ALCX,96.93,-0.001,0.023,-0.144,6978992,114928689,17-03-2022
Hoo Token,HOO,1.39,-0.004,0.035,0.059,8832185,114432549,17-03-2022
Beefy.Finance,BIFI,1462.88,-0.004,0.005,-0.093,1404924,114334270,17-03-2022
Alpine F1 Team Fan Token,ALPINE,10,0.002,0.142,0.953,226663985,114038968,17-03-2022
DODO,DODO,0.395012,-0.003,0.009,-0.033,24729655,113721778,17-03-2022
Hathor,HTR,0.491681,0.001,0.028,-0.049,5298234,112171936,17-03-2022
TitanSwap,TITAN,1.12,-0.018,-0.008,-0.038,24457.53,111774842,17-03-2022
PlatON Network,LAT,0.046419884,0.005,0.022,-0.047,2598864,111691885,17-03-2022
Phantasma,SOUL,1.07,0.005,-0.009,-0.105,2935493,111502505,17-03-2022
Tornado Cash,TORN,47.28,-0.002,-0.01,-0.044,7275467,111302578,17-03-2022
Klever,KLV,0.02093064,-0.002,-0.01,0.015,3409196,110824223,17-03-2022
JasmyCoin,JASMY,0.023128578,-0.016,0.098,0.685,657631520,110553343,17-03-2022
BTC Standard Hashrate Token,BTCST,15.08,0.007,-0.015,-0.092,3149394,109935865,17-03-2022
KardiaChain,KAI,0.032601818,-0.002,-0.015,-0.061,2890097,109334845,17-03-2022
My Neighbor Alice,ALICE,6.27,0.001,0.033,-0.016,99965004,109282154,17-03-2022
Proton,XPR,0.011066116,-0.002,0.008,-0.102,8687937,109182891,17-03-2022
Utrust,UTK,0.237003,-0.001,0.015,-0.051,8201156,109107417,17-03-2022
Kava Swap,SWP,1.82,-0.012,0.008,0,1981564,109049036,17-03-2022
Regen,REGEN,0.873466,-0.002,0.013,-0.04,185688,107921529,17-03-2022
BakerySwap,BAKE,0.559948,0.002,0.021,-0.016,15467623,107743877,17-03-2022
Hydra,HYDRA,9.26,0.004,0.04,0.056,884096,107523003,17-03-2022
Venus,XVS,8.86,0.003,0.04,-0.01,15729939,106857130,17-03-2022
CRYPTO20,C20,3.21,0.005,0.094,-0.014,244162,106817045,17-03-2022
Pylon Protocol,MINE,0.054820562,-0.002,0.025,0.118,255036,106639197,17-03-2022
QuarkChain,QKC,0.016027564,0.008,0.028,-0.031,2308543,106547838,17-03-2022
Orion Protocol,ORN,3.06,0.003,-0.012,-0.074,9655123,104853664,17-03-2022
Seedify.fund,SFUND,4.37,-0.002,0.013,-0.168,3082745,104617801,17-03-2022
TomoChain,TOMO,1.19,0.007,0.015,-0.028,2030435,104551092,17-03-2022
Ellipsis,EPS,0.166502,-0.001,0.012,-0.029,5645716,104379795,17-03-2022
Railgun,RAIL,1.81,-0.001,0.021,-0.175,471794,104202720,17-03-2022
Decentral Games Governance,XDG,0.338029,0.013,0.052,0.013,147662,104005183,17-03-2022
Hermez Network,HEZ,6.17,0.002,0.015,0.013,68193.73,103279211,17-03-2022
AIOZ Network,AIOZ,0.214561,-0.012,-0.095,-0.107,5493212,103148149,17-03-2022
ICHI,ICHI,23.02,0.005,0.017,0.108,662181,100868057,17-03-2022
sETH,SETH,2821.01,0.006,0.039,0.033,3277906,100163119,17-03-2022
Bitcoin Diamond,BCD,0.52929,0.015,0.029,-0.041,13758923,99286361,17-03-2022
Metal,MTL,1.52,0.004,-0.001,-0.044,10399052,98146821,17-03-2022
Dopex Rebate Token,RDPX,105.79,-0.013,0.052,0.092,1970405,97862985,17-03-2022
Wilder World,WILD,1.17,-0.012,0.004,-0.178,4126450,97738316,17-03-2022
cBAT,CBAT,0.013887823,,,,,96581377,17-03-2022
Wrapped Centrifuge,WCFG,0.481036,-0.003,-0.01,-0.043,1727756,95950030,17-03-2022
Bounce,AUCTION,13.12,0.002,0.002,0,1640514,94608029,17-03-2022
Augur,REP,13.56,0.001,0.01,-0.041,5896456,94396497,17-03-2022
sUSD,SUSD,0.997496,0.001,0.004,-0.003,9442897,94221877,17-03-2022
Electroneum,ETN,0.00521421,0.006,0.025,-0.05,189537,93414016,17-03-2022
KeeperDAO,ROOK,115.76,0.008,0.07,-0.105,652966,93199097,17-03-2022
Dvision Network,DVI,0.380746,0.008,0.091,-0.108,2438408,92462684,17-03-2022
cUNI,CUNI,0.186789,0.002,0.02,0.013,818771,91378796,17-03-2022
Wanchain,WAN,0.472639,0.001,0,0.003,5680953,91293951,17-03-2022
IDEX,IDEX,0.142172,0.004,-0.002,-0.055,11854190,90697310,17-03-2022
Verasity,VRA,0.020213149,0.008,-0.03,-0.113,55707710,90445041,17-03-2022
Neutrino System Base Token,NSBT,35.75,-0.001,0.009,0.188,208377,90375202,17-03-2022
Everipedia,IQ,0.008982625,-0.005,-0.004,-0.005,2844319,90044377,17-03-2022
HUNT,HUNT,0.821299,-0.001,0.069,0.006,104480496,89930148,17-03-2022
Somnium Space CUBEs,CUBE,6.89,0.011,0.173,0.2,379297,89700384,17-03-2022
bZx Protocol,BZRX,0.062809109,-0.704,-0.646,-0.464,43.49,88971844,17-03-2022
AllianceBlock,ALBT,0.229837,-0.003,0.038,0.053,380133,88953339,17-03-2022
ZoidPay,ZPAY,0.303949,-0.004,-0.018,0.212,580730,88904956,17-03-2022
Ampleforth,AMPL,1.07,0,-0.049,0.104,1359111,88008725,17-03-2022
Bonfida,FIDA,1.65,-0.002,0.025,-0.083,7357829,87734475,17-03-2022
Avalaunch,XAVA,3.92,-0.002,0.034,-0.024,1323970,86912829,17-03-2022
Adventure Gold,AGLD,1.11,-0.011,0.009,0.089,56512453,85908280,17-03-2022
Adshares,ADS,3.55,0.001,0.028,0.298,1188991,85408124,17-03-2022
Automata,ATA,0.368096,0.004,0.004,-0.003,3784037,83651315,17-03-2022
Gains Farm,GFARM2,2330.78,0,0.03,0.102,138508,83519135,17-03-2022
Crabada,CRA,0.957634,0.026,0.064,0.033,2393019,83266240,17-03-2022
CertiK,CTK,1.17,-0.002,-0.003,-0.009,4539353,82895723,17-03-2022
Celo Dollar,CUSD,1,-0.001,0.005,0.004,2890566,82678314,17-03-2022
Propy,PRO,1.43,-0.005,0.087,-0.131,1092863,82507865,17-03-2022
Swarm,BZZ,1.26,0.002,0.052,-0.014,1150674,81979222,17-03-2022
Clover Finance,CLV,0.313737,-0.003,0.028,-0.014,10080749,81842102,17-03-2022
Covalent,CQT,0.319453,0,0.036,-0.1,1930543,81675970,17-03-2022
chrono.tech,TIME,113.61,0.012,-0.036,-0.234,150984,80595619,17-03-2022
Biswap,BSW,0.355954,0.002,-0.002,0.058,4931153,80314265,17-03-2022
Gitcoin,GTC,5.65,0.004,-0.003,-0.102,7848894,80282760,17-03-2022
DFI.money,YFII,2018.73,0.001,-0.014,-0.001,11327787,80185006,17-03-2022
Redacted Cartel,BTRFLY,129.99,-0.001,0.14,-0.212,2195840,80079688,17-03-2022
SafePal,SFP,0.740146,-0.002,0.013,-0.018,8669227,80075567,17-03-2022
Platypus Finance,PTP,4.14,0.005,-0.135,-0.354,5248814,79450747,17-03-2022
BENQI,QI,0.050743317,0,0.024,-0.048,8530801,79411049,17-03-2022
Aergo,AERGO,0.218479,-0.004,0.012,-0.129,7272167,79214487,17-03-2022
Enzyme,MLN,54.27,0.005,0.006,0.033,5114354,78897484,17-03-2022
Nerve Finance,NRV,0.018468001,-0.015,0.057,-0.04,26173.31,77747624,17-03-2022
Rai Reflex Index,RAI,3.04,0.003,0.003,0.002,1057135,77616933,17-03-2022
Aurory,AURY,8.09,-0.001,0.008,0.004,1438567,76843664,17-03-2022
RIZON,ATOLO,0.034953546,0.001,-0.018,-0.05,334964,75194885,17-03-2022
Aave [OLD],LEND,1.47,0.002,0.079,0.072,11843.62,75160944,17-03-2022
mStable USD,MUSD,0.999305,0,0,0,100066,74706759,17-03-2022
DeFi Pulse Index,DPI,158.57,-0.005,0.024,0.012,264648,74590066,17-03-2022
Blox,CDT,0.110513,0.053,0.151,-0.007,151228,74560549,17-03-2022
PlatonCoin,PLTC,0.682181,-0.001,0.068,0.199,195574,74286948,17-03-2022
ShapeShift FOX Token,FOX,0.272417,0.001,0.002,-0.028,671439,74091492,17-03-2022
Handshake,HNS,0.155984,-0.004,-0.001,-0.168,171651,74049207,17-03-2022
PEAKDEFI,PEAK,0.05519711,0.04,-0.018,-0.175,72443.45,74047013,17-03-2022
Presearch,PRE,0.186584,0.001,0.037,-0.025,706220,74002744,17-03-2022
SingularityNET,AGIX,0.082793325,-0.001,-0.015,-0.081,1211638,73431209,17-03-2022
Sai,SAI,1,,,,,72643253,17-03-2022
Sifchain,EROWAN,0.092998916,0.005,0.026,-0.031,2618246,72370847,17-03-2022
Badger DAO,BADGER,7.24,-0.005,-0.011,-0.074,3893756,72193740,17-03-2022
Index Coop - ETH 2x Flexible Leverage Index,ETH2X-FLI,69.79,0.002,0.056,0.063,1140003,72083620,17-03-2022
Oxygen,OXY,0.355128,0.012,0.094,0.09,628756,71658098,17-03-2022
Hifi Finance,MFT,0.007610381,-0.003,0.007,0.058,13457578,71444464,17-03-2022
Vader Protocol,VADER,0.014688496,0.008,0.022,-0.363,3416278,71296654,17-03-2022
MAPS,MAPS,0.944908,0.007,0.143,0.121,1481120,70633226,17-03-2022
Wrapped NXM,WNXM,26.39,0.003,-0.01,-0.03,1579870,70593491,17-03-2022
Sovryn,SOV,3.32,-0.006,-0.029,-0.159,732020,70581427,17-03-2022
Netvrk,NTVRK,1.71,-0.007,0.116,-0.029,2603788,70480323,17-03-2022
Dock,DOCK,0.033661854,0.001,0.008,-0.022,2401530,70448413,17-03-2022
ShareToken,SHR,0.007367751,0,0.029,-0.175,261673,69453171,17-03-2022
TempleDAO,TEMPLE,0.641015,0.001,-0.036,-0.05,857448,69369413,17-03-2022
cVault.finance,CORE,6926.41,-0.005,0.026,0,42667.58,68840419,17-03-2022
GuildFi,GF,1.58,0.001,0.031,0.019,4047040,68575496,17-03-2022
ChainX,PCX,1.64,0.006,-0.015,0.033,523787,68530128,17-03-2022
Loom Network (OLD),LOOMOLD,0.0821722,0.005,0.102,0.018,2657217,68416663,17-03-2022
Travala.com,AVA,1.32,0.002,-0.01,0.003,3591714,68291858,17-03-2022
Banana,BANANA,15.33,0.002,-0.181,0.393,541918,68212793,17-03-2022
IRISnet,IRIS,0.055425599,0.016,-0.003,-0.088,2976839,68090240,17-03-2022
Circuits of Value,COVAL,0.037961004,0.002,-0.012,-0.054,366787,67826274,17-03-2022
ARPA Chain,ARPA,0.069003374,0,0.008,-0.037,13633759,67762845,17-03-2022
SuperRare,RARE,0.464613,-0.003,0.014,0.019,9398219,67388220,17-03-2022
Verus Coin,VRSC,0.999387,0.053,0.061,-0.122,20275.07,67318962,17-03-2022
